place_id,province_state,country_region,latitude,longitude
1,Hubei,China,30.9756,112.2707
2,Guangdong,China,23.3417,113.4244
3,Henan,China,33.882,113.614
4,Hunan,China,27.6104,111.7088
5,Jiangxi,China,27.614,115.7221
6,Anhui,China,31.8257,117.2264
7,Chongqing,China,30.0572,107.874
8,Jiangsu,China,32.9711,119.455
9,Shandong,China,36.3427,118.1498
10,Sichuan,China,30.6171,102.7103
11,Beijing,China,40.1824,116.4142
12,Shanghai,China,31.202,121.4491
13,Fujian,China,26.0789,117.9874
14,Heilongjiang,China,47.862,127.7615
15,Shaanxi,China,35.1917,108.8701
16,Guangxi,China,23.8298,108.7881
17,Hebei,China,37.8957,114.9042
18,Yunnan,China,24.974,101.487
19,Hainan,China,19.1959,109.7453
20,Liaoning,China,41.2956,122.6085
21,Shanxi,China,37.5777,112.2922
22,Tianjin,China,39.3054,117.323
23,Guizhou,China,26.8154,106.8748
24,Gansu,China,35.7518,104.2861
25,Jilin,China,43.6661,126.1923
26,Inner Mongolia,China,44.0935,113.9448
27,Ningxia,China,37.2692,106.1655
28,Xinjiang,China,41.1129,85.2401
29,"",Singapore,1.2833,103.8333
30,"",Thailand,15.87,100.9925
31,"",Japan,36.2048,138.2529
32,Hong Kong,China,22.3,114.2
33,"","Korea, South",35.9078,127.7669
34,Qinghai,China,35.7452,95.9956
35,"",Germany,51.1657,10.4515
36,"",Malaysia,4.2105,101.9758
37,"",Taiwan*,23.7,121
38,Macau,China,22.1667,113.55
39,"",Vietnam,14.0583,108.2772
40,"",France,46.2276,2.2137
41,New South Wales,Australia,-33.8688,151.2093
42,Victoria,Australia,-37.8136,144.9631
43,Queensland,Australia,-27.4698,153.0251
44,"",India,20.5937,78.9629
45,South Australia,Australia,-34.9285,138.6007
46,Ontario,Canada,51.2538,-85.3232
47,"",Italy,41.8719,12.5674
48,"",Philippines,12.8797,121.774
49,"",Russia,61.524,105.3188
50,"",United Kingdom,55.3781,-3.436
54,"",Belgium,50.8333,4.4699
55,"",Cambodia,11.55,104.9167
56,British Columbia,Canada,53.7267,-127.6476
58,"",Finland,61.9241,25.7482
59,Tibet,China,31.6927,88.0924
60,"",Spain,40.4637,-3.7492
61,"",Sri Lanka,7.8731,80.7718
62,"",Sweden,60.1282,18.6435
64,"",United Arab Emirates,23.4241,53.8478
68,Zhejiang,China,29.1832,120.0934
73,"",Diamond Princess,0,0
77,"",Egypt,26.8206,30.8025
79,"",Iran,32.4279,53.688
83,"",Israel,31.0461,34.8516
84,"",Lebanon,33.8547,35.8623
87,"",Iraq,33.2232,43.6793
89,"",Oman,21.5126,55.9233
90,"",Afghanistan,33.9391,67.71
